32,384,0.0,0.0,-1,1,0,C0,0,1,525,192,C0,1,1,461,192,C5,0,4,509,192,C5,1,4,269,272,
33,384,1.5,0.0,1,1,0,C0,0,1,526,192,C0,1,1,462,192,C5,0,4,510,192,C5,1,4,270,272,
34,384,1.9,0.0,1,1,0,C0,0,1,527,192,C0,1,1,463,192,C5,0,4,511,192,C5,1,4,271,272,
36,384,2.2,0.0,1,1,0,C0,0,-1,528,192,C0,1,1,464,192,C5,0,4,512,192,C5,1,4,272,272,
38,384,2.6,0.0,1,1,0,C0,0,-1,527,192,C0,1,1,465,192,C5,0,4,513,192,C5,1,4,273,272,
41,384,3.0,0.0,1,1,0,C0,0,-1,526,192,C0,1,1,466,192,C5,0,4,514,192,C5,1,4,274,272,
44,376,3.4,-8.0,1,1,0,C0,0,-1,525,192,C0,1,1,467,192,C5,0,4,515,192,C5,1,4,275,272,
47,368,3.8,-7.5,1,1,0,C0,0,-1,524,192,C0,1,1,468,192,C5,0,4,516,192,C5,1,4,276,272,
51,361,4.0,-7.0,1,1,0,C0,0,-1,523,192,C0,1,1,469,192,C5,0,4,517,192,C5,1,4,277,272,
55,354,4.0,-6.5,1,1,0,C0,0,-1,522,192,C0,1,1,470,192,C5,0,4,518,192,C5,1,4,278,272,
59,348,4.0,-6.0,1,1,0,C0,0,-1,521,192,C0,1,1,471,192,C5,0,4,519,192,C5,1,4,279,272,
63,342,4.0,-5.5,1,1,0,C0,0,-1,520,192,C0,1,1,472,192,C5,0,4,520,192,C5,1,4,280,272,
67,337,4.0,-5.0,1,1,0,C0,0,-1,519,192,C0,1,1,473,192,C5,0,4,521,192,C5,1,4,281,272,
71,332,4.0,-4.5,1,1,0,C0,0,-1,518,192,C0,1,1,474,192,C5,0,4,522,192,C5,1,4,282,272,
75,328,4.0,-4.0,1,1,0,C0,0,-1,517,192,C0,1,1,475,192,C5,0,4,523,192,C5,1,4,283,272,
79,324,4.0,-3.5,1,1,0,C0,0,-1,516,192,C0,1,1,476,192,C5,0,4,524,192,C5,1,4,284,272,
83,321,4.0,-3.0,1,1,0,C0,0,-1,515,192,C0,1,1,477,192,C5,0,4,525,192,C5,1,4,285,272,
81,318,1.5,-3.0,1,1,0,C0,0,-1,514,192,C0,1,1,478,192,C5,0,4,526,192,C5,1,4,286,272,
81,315,1.5,-3.0,1,1,0,C0,0,-1,513,192,C0,1,1,479,192,C5,0,4,527,192,C5,1,4,287,272,
81,312,1.5,-3.0,1,1,0,C0,0,-1,512,192,C0,1,1,480,192,C5,0,4,528,192,C5,1,4,288,276,
81,309,1.5,-3.0,1,1,0,C0,0,-1,511,192,C0,1,1,481,192,C5,0,4,527,192,C5,1,4,289,280,
81,306,1.5,-3.0,1,1,0,C0,0,-1,510,192,C0,1,1,482,192,C5,0,4,526,192,C5,1,4,290,284,
